"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","COMMENT","CURRENT RATING [A]","DC RESISTANCE [OHM]","DCR","I_MAX","I_SAT","IMPEDANCE [OHM]","IMPEDANCE AT 100 MHZ","LATESTREVISIONDATE","LATESTREVISIONNOTE","MAXIM INTEGRATED","MODEL","PN","POWER","PUBLISHER","Q","RATED CURRENT","RDC","SIZE","TEMP","TOLERANCE","VALUE","VENDOR","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"1N4148WS","SOD-323","","","","","","","=PN","","","","","","","","","","","","1N4148WS","","","","","","","","","","Fairchild","","*","D?","Standard diode, 75V 150mA"
"1PS79SB31","SOD-523","","","","","","","=PN","","","","","","","","","","","","1PS79SB31","","","","","","","","","","NXP","","*","D?","Schottky diode, 30V 200mA"
"20-pin_JTAG/SW","","","","","","","","=PN","","","","","","","","","","","","0702462004","","","","","","","","","","Molex","","*","J?","20-pin JTAG connector"
"2450BM14E0003","BAL-0603-6pin","","","","","","","=PN","","","","","","","","","","","","2450BM14E0003","","","","","","","","","","Johanson","","","B?","2.45 GHz Impedance Matched Balun-Filter"
"5016","5016","TP0875x050","","","","","","TP?","","","","","","","","","","","","","","","","","","","","","","","","*","5016","Single-pad test point"
"74HCT2G04","SOT65P210X110-6N","","","","","","","DNP","","","","","","","","","","","","74HCT2G04GW,125","","","","","","","","","","NXP Semiconductors","","","U?","Dual inverter The 74HC2G04; 74HCT2G04 is a high-speed Si-gate CMOS device."
"760-308-111","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","*","Wuerth inductor"
"856561","CSP-5BT","","","","","","","Saw Filter","","","","","","","","","","","","","","","","","","","","","","","","*","U?","TriQuint 1575.42 Mhz Saw Filter"
"AB-RTCMC-32.768kHz-AIGZ-S7","8-CLCC","","","","","","","AB-RTCMC-32.768kHz-AIGZ-S7","","","","","","","","","","","","AB-RTCMC-32.768kHz-AIGZ-S7","","","","","","","","","","Abracon","","*","RTC?","Abracon I2C RTC w/ integrated XO"
"ABM2","ABM2","","","","","","","*","","","","","","","","","","","","","","","","","","","","","12 MHz","","","*","X?","Abracon ABM2 12MHz XO 8.0x4.5x1.4mm"
"ABS06","ABS06","","","","","","","ABS06-32.768kHz","","","","","","","","","","","","ABS06-32.768kHz","","","","","","","","","32.768kHz","Abracon","","*","X?.","Abracon ABS06 32.768kHz XO 2.0x1.2x0.6mm"
"AD5110BCPZ80-500R7","","","","","","","","=PN","","","","","","","","","","","","AD5110BCPZ80-500R7","","","","","","","","","","Analog Devices","","*","U?","80kOhm Digital potentiometer, 128 taps"
"ADA4505-2","8-WLCSP","","","","","","","ADA4505-2","","","","","","","","","","","","","","","","","","","","","","","","*","Op?","Analog Devices Dual Op-Amp"
"ADS1118","ADS1118","","","","","","","ADS1118","","","","","","","","","","","","","","","","","","","","","","","","*","U?","SPI enabled Quad input ADC"
"ADS1256","SOIC-28","","","","","","","*","","","","","","","","","","","","ADS1256","","","","","","","","","","Texas Instruments","","*","U?","24 bit ADC with SPI and Quad differential inputs"
"ADS1282","SOIC-28","","","","","","","*","","","","","","","","","","","","ADS1282","","","","","","","","","","Texas Instruments","","*","U?","31-bit ADC with SPI and 2 differential inputs"
"AM2520ZGC09","AM2520ZGC09","","","","","","","AM2520ZGC09","","","","","","","","","","","","","","","","","","","","","","","","*","LED?","Kingbright Green LED"
"AO3416","SOT-23","","","","","","","=PN","","","","","","","","","","","","AO3416","","","","","","","","","","Alpha and Omega","","*","Q?","N-channel enhancement mode FET"
"APT2012QBC-D","LED_Kingbright","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","LED?","Kingbright Blue SMT LED"
"APT2012SECK","LED_Kingbright","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","LED?","Kingbright Orange SMT LED"
"APT2012SGC","LED_Kingbright","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","LED?","Kingbright Green SMT LED"
"APT2012SRCPRV","LED_Kingbright","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","LED?","Kingbright Red SMT LED"
"APTL3216ZGC","APTL3216ZGC","","","","","","","APTL3216ZGC","","","","","","","","","","","","","","","","","","","","","","","","*","L?","Kingbright Green SMT LED"
"ASDMB-12.000MHZ-LC-T","ASDMB","","","","","","","ASDMB-12.000MHZ-LC-T","","","","","","","","","","","","ASDMB-12.000MHZ-LC-T","","","","","","","","","","Abracon","","","X?","ASDMB 12MHz Crystal Oscillator"
"AT45DB011D","SOIC-8","","","","","","","=PN","","","","","","","","","","","","DRV2667EVM-CT","","","","","","","","","","Atmel","","*","J?","1Mbit Flash memory, SPI interface 66MHz"
"AT93C46E","SOIC-8","","","","","","","AT93C46E","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Atmel 1KBIT 2MHZ 8SOIC I2C EEPROM"
"Antenna_IFA_pads","Antenna_Pads","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","A?","PCB pads for external IFA"
"Antenna_meander_2.4GHz","Antenna_meander_2.4GHz","","","","","","","PCB Antenna","","","","","","","","","","","","","","","","","","","","","","","","*","A?","Meander antenna printed on PCB"
"Antenna_meander_2.4GHz_middle","Antenna_meander_2.4GHz_middle","Antenna_meander_2.4GHz_middle_extended_keepout","","","","","","PCB Antenna","","","","","","","","","","","","","","","","","","","","","","","","*","A?","Meander antenna printed on PCB"
"BAL-ST-5pin_DC-Flip","BAL-ST-WLCSP","","","","","","","=PN","","","","","","","","","","","","BAL-NRF02D3","","","","","","","","","","ST","","","B?","50 ohm balun transformer for 2.45GHz ISM"
"BAT54SW","SOT-323","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","D?","Double shottky diode"
"BH1603FVC","BH1603FVC","","","","","","","=PN","","","","","","","","","","","","BH1603FVC","","","","","","","","","","Rohm","","*","U?","Ambient light sensor IC"
"BPW34","BPW34","","","","","","","BPW34","","","","","","","","","","","","","","","","","","","","","","","","*","PD?","Photodetector"
"BQ27421YZFT-G1A","BGA9C50P3X3_158X162X62","","","","","","","=PN","","","","","","","","","","","","BQ27421YZFT-G1A","","","","","","","","","","TI","","*","U?","TI Fuel Gauge With Integrated Sense Resistor"
"BQ500212A","VQFN-48","","","","","","","*","","","","","","","","","","","","BQ500212A","","","","","","","","","","TI","","*","U?","Wireless power controller for WPC TX A5 or A11"
